From	To	Species	Gene Name
1553856_PM_s_at	p2ry10	Homo sapiens	purinergic receptor P2Y10(P2RY10)
204255_PM_s_at	VDR	Homo sapiens	vitamin D (1,25- dihydroxyvitamin D3) receptor(VDR)
201972_PM_at	ATP6V1A	Homo sapiens	ATPase H+ transporting V1 subunit A(ATP6V1A)
224741_PM_x_at	SNORD81	Homo sapiens	small nucleolar RNA, C/D box 81(SNORD81)
208819_PM_at	RAB8A	Homo sapiens	RAB8A, member RAS oncogene family(RAB8A)
208982_PM_at	PECAM1	Homo sapiens	platelet and endothelial cell adhesion molecule 1(PECAM1)
235567_PM_at	RORA	Homo sapiens	RAR related orphan receptor A(RORA)
1566303_PM_s_at	PPP1R11	Homo sapiens	protein phosphatase 1 regulatory inhibitor subunit 11(PPP1R11)
241871_PM_at	CAMK4	Homo sapiens	calcium/calmodulin dependent protein kinase IV(CAMK4)
225220_PM_at	SNHG8	Homo sapiens	small nucleolar RNA host gene 8(SNHG8)
229064_PM_s_at	RCAN3	Homo sapiens	RCAN family member 3(RCAN3)
212451_PM_at	SECISBP2L	Homo sapiens	SECIS binding protein 2 like(SECISBP2L)
203413_PM_at	NELL2	Homo sapiens	neural EGFL like 2(NELL2)
202449_PM_s_at	RXRA	Homo sapiens	retinoid X receptor alpha(RXRA)
200801_PM_x_at	ACTB	Homo sapiens	actin beta(ACTB)
215159_PM_s_at	NADK	Homo sapiens	NAD kinase(NADK)
201582_PM_at	SEC23B	Homo sapiens	Sec23 homolog B, coat complex II component(SEC23B)
222465_PM_at	RSL24D1	Homo sapiens	ribosomal L24 domain containing 1(RSL24D1)
209481_PM_at	SNRK	Homo sapiens	SNF related kinase(SNRK)
200823_PM_x_at	RPL29	Homo sapiens	ribosomal protein L29(RPL29)
226250_PM_at	ZBTB20	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
227686_PM_at	OXNAD1	Homo sapiens	oxidoreductase NAD binding domain containing 1(OXNAD1)
218317_PM_x_at	SLX1A	Homo sapiens	SLX1 homolog A, structure-specific endonuclease subunit(SLX1A)
224610_PM_at	SNHG1	Homo sapiens	small nucleolar RNA host gene 1(SNHG1)
229029_PM_at	CAMK4	Homo sapiens	calcium/calmodulin dependent protein kinase IV(CAMK4)
204546_PM_at	KIAA0513	Homo sapiens	KIAA0513(KIAA0513)
209150_PM_s_at	TM9SF1	Homo sapiens	transmembrane 9 superfamily member 1(TM9SF1)
225811_PM_at	C11orf58	Homo sapiens	chromosome 11 open reading frame 58(C11orf58)
219952_PM_s_at	MCOLN1	Homo sapiens	mucolipin 1(MCOLN1)
202961_PM_s_at	ARMC2-AS1	Homo sapiens	ARMC2 antisense RNA 1(ARMC2-AS1)
228381_PM_at	atf7ip2	Homo sapiens	activating transcription factor 7 interacting protein 2(ATF7IP2)
230285_PM_at	SVIP	Homo sapiens	small VCP interacting protein(SVIP)
216862_PM_s_at	cmc4	Homo sapiens	C-X9-C motif containing 4(CMC4)
225698_PM_at	EPB41L4A-AS1	Homo sapiens	EPB41L4A antisense RNA 1(EPB41L4A-AS1)
235048_PM_at	FAM169A	Homo sapiens	family with sequence similarity 169 member A(FAM169A)
227396_PM_at	PTPRJ	Homo sapiens	protein tyrosine phosphatase, receptor type J(PTPRJ)
222669_PM_s_at	SBDSP1	Homo sapiens	Shwachman-Bodian-Diamond syndrome pseudogene 1(SBDSP1)
206881_PM_s_at	LILRA3	Homo sapiens	leukocyte immunoglobulin like receptor A3(LILRA3)
224838_PM_at	FOXP1	Homo sapiens	forkhead box P1(FOXP1)
227121_PM_at	ZBTB20	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
227082_PM_at	ZBTB20	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
220755_PM_s_at	C6orf48	Homo sapiens	chromosome 6 open reading frame 48(C6orf48)
230006_PM_s_at	SVIP	Homo sapiens	small VCP interacting protein(SVIP)
213534_PM_s_at	PASK	Homo sapiens	PAS domain containing serine/threonine kinase(PASK)
223944_PM_at	NLRP12	Homo sapiens	NLR family pyrin domain containing 12(NLRP12)
209949_PM_at	NCF2	Homo sapiens	neutrophil cytosolic factor 2(NCF2)
210479_PM_s_at	RORA	Homo sapiens	RAR related orphan receptor A(RORA)
