From	To	Species	Gene Name
229630_PM_s_at	WTAP	Homo sapiens	Wilms tumor 1 associated protein(WTAP)
203139_PM_at	DAPK1	Homo sapiens	death associated protein kinase 1(DAPK1)
208904_PM_s_at	RPS28	Homo sapiens	ribosomal protein S28(RPS28)
222396_PM_at	HN1	Homo sapiens	hematological and neurological expressed 1(HN1)
221918_PM_at	CDK17	Homo sapiens	cyclin dependent kinase 17(CDK17)
201193_PM_at	idh1	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 1, cytosolic(IDH1)
225600_PM_at	triqk	Homo sapiens	triple QxxK/R motif containing(TRIQK)
206804_PM_at	CD3G	Homo sapiens	CD3g molecule(CD3G)
203518_PM_at	LYST	Homo sapiens	lysosomal trafficking regulator(LYST)
201018_PM_at	EIF1AX	Homo sapiens	eukaryotic translation initiation factor 1A, X-linked(EIF1AX)
202747_PM_s_at	ITM2A	Homo sapiens	integral membrane protein 2A(ITM2A)
221188_PM_s_at	CIDEB	Homo sapiens	cell death-inducing DFFA-like effector b(CIDEB)
216945_PM_x_at	PASK	Homo sapiens	PAS domain containing serine/threonine kinase(PASK)
200743_PM_s_at	TPP1	Homo sapiens	tripeptidyl peptidase 1(TPP1)
212663_PM_at	FKBP15	Homo sapiens	FK506 binding protein 15(FKBP15)
203416_PM_at	CD53	Homo sapiens	CD53 molecule(CD53)
200088_PM_x_at	RPL12	Homo sapiens	ribosomal protein L12(RPL12)
211963_PM_s_at	ARPC5	Homo sapiens	actin related protein 2/3 complex subunit 5(ARPC5)
203066_PM_at	CHST15	Homo sapiens	carbohydrate sulfotransferase 15(CHST15)
200016_PM_x_at	HNRNPA1	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1(HNRNPA1)
229966_PM_at	EWSR1	Homo sapiens	EWS RNA binding protein 1(EWSR1)
244115_PM_at	FAM126A	Homo sapiens	family with sequence similarity 126 member A(FAM126A)
222544_PM_s_at	whsc1l1	Homo sapiens	Wolf-Hirschhorn syndrome candidate 1-like 1(WHSC1L1)
227098_PM_at	DUSP18	Homo sapiens	dual specificity phosphatase 18(DUSP18)
201651_PM_s_at	PACSIN2	Homo sapiens	protein kinase C and casein kinase substrate in neurons 2(PACSIN2)
210644_PM_s_at	LAIR1	Homo sapiens	leukocyte associated immunoglobulin like receptor 1(LAIR1)
224841_PM_x_at	SNORD81	Homo sapiens	small nucleolar RNA, C/D box 81(SNORD81)
200063_PM_s_at	NPM1	Homo sapiens	nucleophosmin(NPM1)
201406_PM_at	RPL36A-HNRNPH2	Homo sapiens	RPL36A-HNRNPH2 readthrough(RPL36A-HNRNPH2)
217802_PM_s_at	NUCKS1	Homo sapiens	nuclear casein kinase and cyclin dependent kinase substrate 1(NUCKS1)
226507_PM_at	PAK1	Homo sapiens	p21 (RAC1) activated kinase 1(PAK1)
223684_PM_s_at	SMUG1	Homo sapiens	single-strand-selective monofunctional uracil-DNA glycosylase 1(SMUG1)
226682_PM_at	RORA	Homo sapiens	RAR related orphan receptor A(RORA)
225883_PM_at	atg16l2	Homo sapiens	autophagy related 16 like 2(ATG16L2)
218237_PM_s_at	SLC38A1	Homo sapiens	solute carrier family 38 member 1(SLC38A1)
1555037_PM_a_at	idh1	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 1, cytosolic(IDH1)
206545_PM_at	CD28	Homo sapiens	CD28 molecule(CD28)
228532_PM_at	C1orf162	Homo sapiens	chromosome 1 open reading frame 162(C1orf162)
1569136_PM_at	MGAT4A	Homo sapiens	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A(MGAT4A)
224367_PM_at	BEX2	Homo sapiens	brain expressed X-linked 2(BEX2)
220147_PM_s_at	FAM60A	Homo sapiens	family with sequence similarity 60 member A(FAM60A)
200077_PM_s_at	OAZ1	Homo sapiens	ornithine decarboxylase antizyme 1(OAZ1)
224580_PM_at	SLC38A1	Homo sapiens	solute carrier family 38 member 1(SLC38A1)
229353_PM_s_at	NUCKS1	Homo sapiens	nuclear casein kinase and cyclin dependent kinase substrate 1(NUCKS1)
213241_PM_at	PLXNC1	Homo sapiens	plexin C1(PLXNC1)
201642_PM_at	IFNGR2	Homo sapiens	interferon gamma receptor 2 (interferon gamma transducer 1)(IFNGR2)
221895_PM_at	MOSPD2	Homo sapiens	motile sperm domain containing 2(MOSPD2)
226331_PM_at	bbx	Homo sapiens	BBX, HMG-box containing(BBX)
236094_PM_at	TCF7L2	Homo sapiens	transcription factor 7 like 2(TCF7L2)
226170_PM_at	EYA3	Homo sapiens	EYA transcriptional coactivator and phosphatase 3(EYA3)
209397_PM_at	ME2	Homo sapiens	malic enzyme 2(ME2)
218627_PM_at	DRAM1	Homo sapiens	DNA damage regulated autophagy modulator 1(DRAM1)
225155_PM_at	SNORD50A	Homo sapiens	small nucleolar RNA, C/D box 50A(SNORD50A)
201282_PM_at	OGDH	Homo sapiens	oxoglutarate dehydrogenase(OGDH)
221726_PM_at	RPL22	Homo sapiens	ribosomal protein L22(RPL22)
202395_PM_at	NSF	Homo sapiens	N-ethylmaleimide sensitive factor, vesicle fusing ATPase(NSF)
224581_PM_s_at	NUCKS1	Homo sapiens	nuclear casein kinase and cyclin dependent kinase substrate 1(NUCKS1)
233176_PM_at	LOC100507642	Homo sapiens	uncharacterized LOC100507642(LOC100507642)
217833_PM_at	SYNCRIP	Homo sapiens	synaptotagmin binding cytoplasmic RNA interacting protein(SYNCRIP)
228094_PM_at	JAML	Homo sapiens	junction adhesion molecule like(JAML)
208661_PM_s_at	TTC3P1	Homo sapiens	tetratricopeptide repeat domain 3 pseudogene 1(TTC3P1)
225850_PM_at	SFT2D1	Homo sapiens	SFT2 domain containing 1(SFT2D1)
224655_PM_at	AK3	Homo sapiens	adenylate kinase 3(AK3)
201716_PM_at	SNX1	Homo sapiens	sorting nexin 1(SNX1)
212689_PM_s_at	KDM3A	Homo sapiens	lysine demethylase 3A(KDM3A)
205611_PM_at	TNFSF12-TNFSF13	Homo sapiens	TNFSF12-TNFSF13 readthrough(TNFSF12-TNFSF13)
210426_PM_x_at	RORA	Homo sapiens	RAR related orphan receptor A(RORA)
1554149_PM_at	CLDND1	Homo sapiens	claudin domain containing 1(CLDND1)
202206_PM_at	ARL4C	Homo sapiens	ADP ribosylation factor like GTPase 4C(ARL4C)
212462_PM_at	KAT6B	Homo sapiens	lysine acetyltransferase 6B(KAT6B)
211727_PM_s_at	cox11	Homo sapiens	COX11, cytochrome c oxidase copper chaperone(COX11)
213158_PM_at	ZBTB20	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
227647_PM_at	KCNE3	Homo sapiens	potassium voltage-gated channel subfamily E regulatory subunit 3(KCNE3)
208662_PM_s_at	TTC3P1	Homo sapiens	tetratricopeptide repeat domain 3 pseudogene 1(TTC3P1)
208018_PM_s_at	HCK	Homo sapiens	HCK proto-oncogene, Src family tyrosine kinase(HCK)
204951_PM_at	RHOH	Homo sapiens	ras homolog family member H(RHOH)
201084_PM_s_at	BCLAF1	Homo sapiens	BCL2 associated transcription factor 1(BCLAF1)
212552_PM_at	HPCAL1	Homo sapiens	hippocalcin like 1(HPCAL1)
217786_PM_at	PRMT5	Homo sapiens	protein arginine methyltransferase 5(PRMT5)
204215_PM_at	TMEM243	Homo sapiens	transmembrane protein 243(TMEM243)
200666_PM_s_at	DNAJB1	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B1(DNAJB1)
